timestamp,symbol,price
2024-02-01 08:00:00,AAPL,180.0
2024-02-01 09:00:00,AAPL,182.5
2024-02-01 10:00:00,AAPL,185.0
2024-02-01 11:00:00,AAPL,187.0
2024-02-01 12:00:00,AAPL,189.0
2024-02-01 13:00:00,AAPL,190.0
2024-02-01 14:00:00,AAPL,188.0
2024-02-01 08:00:00,BTC,42000
2024-02-01 09:00:00,BTC,42500
2024-02-01 10:00:00,BTC,43500
2024-02-01 11:00:00,BTC,44500
2024-02-01 12:00:00,BTC,46000
2024-02-01 13:00:00,BTC,46500
2024-02-03 11:00:00,TSLA,205.0
2024-02-03 12:00:00,TSLA,200.0
2024-02-03 13:00:00,TSLA,195.0
2024-02-03 14:00:00,TSLA,190.0
2024-02-03 15:00:00,TSLA,188.0
2024-02-04 08:00:00,EQNR.OL,310.0
2024-02-04 09:00:00,EQNR.OL,312.0
2024-02-04 10:00:00,EQNR.OL,315.0
2024-02-04 11:00:00,EQNR.OL,318.0
2024-02-04 12:00:00,EQNR.OL,320.0
2024-02-04 13:00:00,EQNR.OL,322.0
